lambda,risk,relative_score,rank
0.21,TRUST,0.6999172910389462,5
0.21,ADOPT,0.8783938921126815,3
0.22,GOV,0.8648524190071373,4
0.22,CONN,0.977762307244438,2
0.22,SKILL,1.0,1
0.22,AFFORD,0.18918791863364673,6
0.22,TRUST,0.7013555579143634,5
0.22,ADOPT,0.8749363638831655,3
0.23,GOV,0.8675582132619006,4
0.23,CONN,0.9766464625091391,2
0.23,SKILL,1.0,1
0.23,AFFORD,0.19376304592437746,6
0.23,TRUST,0.702787619667699,5
0.23,ADOPT,0.8714734023791674,3
0.24,GOV,0.8702513086149455,3
0.24,CONN,0.9755313357431367,2
0.24,SKILL,1.0,1
0.24,AFFORD,0.19833734298249142,6
0.24,TRUST,0.7042134788444309,5
0.24,ADOPT,0.8680051117262644,4
0.25,GOV,0.8729317871953164,3
0.25,CONN,0.9744169591887337,2
0.25,SKILL,1.0,1
0.25,AFFORD,0.20291075386284105,6
0.25,TRUST,0.7056331383002135,5
0.25,ADOPT,0.8645315948390032,4
0.26,GOV,0.8755997303548787,3
0.26,CONN,0.9733033645020767,2
0.26,SKILL,1.0,1
0.26,AFFORD,0.2074832233868353,6
0.26,TRUST,0.7070466011946868,5
0.26,ADOPT,0.8610529534367222,4
0.27,GOV,0.8782552186785207,3
0.27,CONN,0.9721905827628192,2
0.27,SKILL,1.0,1
0.27,AFFORD,0.21205469713186384,6
0.27,TRUST,0.7084538709853938,5
